# Chunk-averaged data for fix dmap and group liq
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/mass
100000 37280 15316.000000000104
  425 0.75 95.75 0 0
  426 0.75 96.25 0 0
  427 0.75 96.75 0 0
  428 0.75 97.25 0 0
  429 0.75 97.75 0 0
  430 0.75 98.25 0 0
  431 0.75 98.75 0 0
  432 0.75 99.25 0 0
  433 0.75 99.75 0 0
  434 0.75 100.25 0 0
  435 0.75 100.75 0 0
  436 0.75 101.25 0 0
  437 0.75 101.75 0 0
  438 0.75 102.25 0 0
  439 0.75 102.75 0 0
  440 0.75 103.25 0 0
  441 0.75 103.75 0 0
  442 0.75 104.25 0 0
  443 0.75 104.75 0 0
  444 0.75 105.25 0 0
  445 0.75 105.75 0 0
  446 0.75 106.25 0 0
  447 0.75 106.75 0 0
  448 0.75 107.25 0 0
  449 0.75 107.75 0 0
  450 0.75 108.25 0 0
  451 0.75 108.75 0 0
  452 0.75 109.25 0 0
  453 0.75 109.75 0 0
  454 0.75 110.25 0 0
  455 0.75 110.75 0 0
  456 0.75 111.25 0 0
  457 0.75 111.75 0 0
  458 0.75 112.25 0 0
  459 0.75 112.75 0 0
  460 0.75 113.25 0 0
  461 0.75 113.75 0 0
  462 0.75 114.25 0 0
  463 0.75 114.75 0 0
  464 0.75 115.25 0 0
  465 0.75 115.75 0 0
  466 0.75 116.25 0 0
  467 1.25 0.25 0 0
  468 1.25 0.75 0 0
  469 1.25 1.25 0 0
  470 1.25 1.75 0 0
  471 1.25 2.25 0 0
  472 1.25 2.75 0 0
  473 1.25 3.25 0 0
  474 1.25 3.75 0 0
  475 1.25 4.25 0 0
  476 1.25 4.75 0 0
  477 1.25 5.25 0 0
  478 1.25 5.75 0 0
  479 1.25 6.25 0 0
  480 1.25 6.75 0 0
  481 1.25 7.25 0 0
  482 1.25 7.75 0 0
  483 1.25 8.25 0 0
  484 1.25 8.75 0 0
  485 1.25 9.25 0 0
  486 1.25 9.75 0 0
  487 1.25 10.25 0.0012 0.000267796
  488 1.25 10.75 0.0038 0.00483104
  489 1.25 11.25 0.0036 0.00478641
  490 1.25 11.75 0.0022 0.000490959
  491 1.25 12.25 0.0018 0.000401694
  492 1.25 12.75 0.0046 0.00102655
  493 1.25 13.25 0.009 0.00267231
  494 1.25 13.75 0.015 0.0245902
  495 1.25 14.25 0.0282 0.0374936
  496 1.25 14.75 0.0292 0.028423
  497 1.25 15.25 0.0404 0.0415438
  498 1.25 15.75 0.0484 0.0599251
  499 1.25 16.25 0.0736 0.128613
  500 1.25 16.75 0.0854 0.10071
  501 1.25 17.25 0.1004 0.13393
  502 1.25 17.75 0.1188 0.163262
  503 1.25 18.25 0.143 0.183931
  504 1.25 18.75 0.17 0.238152
  505 1.25 19.25 0.1806 0.294614
  506 1.25 19.75 0.1966 0.289432
  507 1.25 20.25 0.256 0.36603
  508 1.25 20.75 0.3142 0.452818
  509 1.25 21.25 0.3724 0.555011
  510 1.25 21.75 0.383 0.563271
  511 1.25 22.25 0.426 0.718713
  512 1.25 22.75 0.4784 0.771258
  513 1.25 23.25 0.5298 0.859808
  514 1.25 23.75 0.6008 1.02278
  515 1.25 24.25 0.6432 1.21362
  516 1.25 24.75 0.6522 1.20748
  517 1.25 25.25 0.6322 1.07839
  518 1.25 25.75 0.6814 1.06398
  519 1.25 26.25 0.6746 1.11418
  520 1.25 26.75 0.6864 1.22833
  521 1.25 27.25 0.6844 1.26149
  522 1.25 27.75 0.6746 1.37799
  523 1.25 28.25 0.6098 1.09556
  524 1.25 28.75 0.7032 1.19804
  525 1.25 29.25 0.7412 1.30392
  526 1.25 29.75 0.7798 1.41437
  527 1.25 30.25 0.7392 1.39574
  528 1.25 30.75 0.6756 1.1973
  529 1.25 31.25 0.7142 1.23056
  530 1.25 31.75 0.6882 1.25925
  531 1.25 32.25 0.6812 1.26376
  532 1.25 32.75 0.7202 1.21134
  533 1.25 33.25 0.7118 1.14545
  534 1.25 33.75 0.692 1.30221
  535 1.25 34.25 0.6816 1.3259
  536 1.25 34.75 0.68 1.16573
  537 1.25 35.25 0.7176 1.3073
  538 1.25 35.75 0.7782 1.42434
  539 1.25 36.25 0.7258 1.19456
  540 1.25 36.75 0.7672 1.28803
  541 1.25 37.25 0.7748 1.2483
  542 1.25 37.75 0.721 1.27401
  543 1.25 38.25 0.6434 1.15008
  544 1.25 38.75 0.6504 1.26434
  545 1.25 39.25 0.718 1.38696
  546 1.25 39.75 0.7282 1.55722
  547 1.25 40.25 0.7388 1.70405
  548 1.25 40.75 0.717 1.46151
  549 1.25 41.25 0.7102 1.29678
  550 1.25 41.75 0.72 1.31235
  551 1.25 42.25 0.7306 1.28704
  552 1.25 42.75 0.7224 1.37232
  553 1.25 43.25 0.6896 1.31718
  554 1.25 43.75 0.6724 1.26375
  555 1.25 44.25 0.6836 1.22472
  556 1.25 44.75 0.7 1.35818
  557 1.25 45.25 0.6578 1.31735
  558 1.25 45.75 0.6784 1.2088
  559 1.25 46.25 0.6998 1.13373
  560 1.25 46.75 0.6752 1.25458
  561 1.25 47.25 0.6926 1.38243
  562 1.25 47.75 0.763 1.52527
  563 1.25 48.25 0.7254 1.3899
  564 1.25 48.75 0.7424 1.44165
  565 1.25 49.25 0.6904 1.26289
  566 1.25 49.75 0.7016 1.25286
  567 1.25 50.25 0.7428 1.36839
  568 1.25 50.75 0.7218 1.34876
  569 1.25 51.25 0.716 1.386
  570 1.25 51.75 0.6786 1.32639
  571 1.25 52.25 0.6592 1.38248
  572 1.25 52.75 0.7074 1.50397
  573 1.25 53.25 0.7274 1.3716
  574 1.25 53.75 0.723 1.36093
  575 1.25 54.25 0.6994 1.36499
  576 1.25 54.75 0.7158 1.4512
  577 1.25 55.25 0.7142 1.43221
  578 1.25 55.75 0.7296 1.47465
  579 1.25 56.25 0.753 1.51572
  580 1.25 56.75 0.6824 1.42862
  581 1.25 57.25 0.734 1.56399
  582 1.25 57.75 0.7236 1.43401
  583 1.25 58.25 0.73 1.39297
  584 1.25 58.75 0.6998 1.21212
  585 1.25 59.25 0.6824 1.21821
  586 1.25 59.75 0.6838 1.14466
  587 1.25 60.25 0.7296 1.24837
  588 1.25 60.75 0.7146 1.23542
  589 1.25 61.25 0.7052 1.1045
  590 1.25 61.75 0.7666 1.25474
  591 1.25 62.25 0.7418 1.20424
  592 1.25 62.75 0.7466 1.32362
  593 1.25 63.25 0.7698 1.33859
  594 1.25 63.75 0.7424 1.1262
  595 1.25 64.25 0.7408 1.24169
  596 1.25 64.75 0.7352 1.25706
  597 1.25 65.25 0.763 1.31619
  598 1.25 65.75 0.7786 1.41704
  599 1.25 66.25 0.7082 1.3382
  600 1.25 66.75 0.7004 1.20019
  601 1.25 67.25 0.7054 1.20799
  602 1.25 67.75 0.7222 1.20761
  603 1.25 68.25 0.8128 1.44686
  604 1.25 68.75 0.7918 1.43847
  605 1.25 69.25 0.8114 1.36827
  606 1.25 69.75 0.8346 1.37061
  607 1.25 70.25 0.7782 1.30217
  608 1.25 70.75 0.8136 1.43093
  609 1.25 71.25 0.808 1.47235
  610 1.25 71.75 0.8072 1.48427
  611 1.25 72.25 0.7022 1.28123
  612 1.25 72.75 0.6426 1.09353
  613 1.25 73.25 0.6318 1.15958
  614 1.25 73.75 0.6884 1.22792
  615 1.25 74.25 0.7048 1.43339
  616 1.25 74.75 0.7752 1.53332
  617 1.25 75.25 0.8182 1.55835
  618 1.25 75.75 0.7146 1.30885
  619 1.25 76.25 0.614 1.06823
  620 1.25 76.75 0.6152 0.995953
  621 1.25 77.25 0.7068 1.13037
  622 1.25 77.75 0.7534 1.28012
  623 1.25 78.25 0.7554 1.29473
  624 1.25 78.75 0.6728 1.25247
  625 1.25 79.25 0.7058 1.38646
  626 1.25 79.75 0.7468 1.44955
  627 1.25 80.25 0.7638 1.43975
  628 1.25 80.75 0.7366 1.34931
  629 1.25 81.25 0.6542 1.17487
  630 1.25 81.75 0.6864 1.29854
  631 1.25 82.25 0.6582 1.22143
  632 1.25 82.75 0.6732 1.29019
  633 1.25 83.25 0.694 1.49402
  634 1.25 83.75 0.6952 1.38641
  635 1.25 84.25 0.7538 1.31545
  636 1.25 84.75 0.7068 1.15036
  637 1.25 85.25 0.6394 1.11643
  638 1.25 85.75 0.6386 1.07429
  639 1.25 86.25 0.6928 1.11574
  640 1.25 86.75 0.7472 1.26666
  641 1.25 87.25 0.8364 1.47835
  642 1.25 87.75 0.789 1.4825
  643 1.25 88.25 0.6182 1.20165
  644 1.25 88.75 0.525 0.877332
  645 1.25 89.25 0.5804 0.954335
  646 1.25 89.75 0.757 1.07938
  647 1.25 90.25 1.0616 1.69469
  648 1.25 90.75 0.9906 1.72089
  649 1.25 91.25 0.3064 0.304914
  650 1.25 91.75 0.1346 0.0911108
  651 1.25 92.25 0.0476 0.0716956
  652 1.25 92.75 0.0374 0.0568064
  653 1.25 93.25 0.024 0.0265987
  654 1.25 93.75 0.0098 0.00882537
  655 1.25 94.25 0.0036 0.000803387
  656 1.25 94.75 0.0006 0.000133898
  657 1.25 95.25 0 0
  658 1.25 95.75 0 0
  659 1.25 96.25 0 0
  660 1.25 96.75 0 0
  661 1.25 97.25 0 0
  662 1.25 97.75 0 0
  663 1.25 98.25 0 0
  664 1.25 98.75 0 0
  665 1.25 99.25 0 0
  666 1.25 99.75 0 0
  667 1.25 100.25 0 0
  668 1.25 100.75 0 0
  669 1.25 101.25 0 0
  670 1.25 101.75 0 0
  671 1.25 102.25 0 0
  672 1.25 102.75 0 0
  673 1.25 103.25 0 0
  674 1.25 103.75 0 0
  675 1.25 104.25 0 0
  676 1.25 104.75 0 0
  677 1.25 105.25 0 0
  678 1.25 105.75 0 0
  679 1.25 106.25 0 0
  680 1.25 106.75 0 0
  681 1.25 107.25 0 0
  682 1.25 107.75 0 0
  683 1.25 108.25 0 0
  684 1.25 108.75 0 0
  685 1.25 109.25 0 0
  686 1.25 109.75 0 0
  687 1.25 110.25 0 0
  688 1.25 110.75 0 0
  689 1.25 111.25 0 0
  690 1.25 111.75 0 0
  691 1.25 112.25 0 0
  692 1.25 112.75 0 0
  693 1.25 113.25 0 0
  694 1.25 113.75 0 0
  695 1.25 114.25 0 0
  696 1.25 114.75 0 0
  697 1.25 115.25 0 0
  698 1.25 115.75 0 0
  699 1.25 116.25 0 0
  700 1.75 0.25 0 0
  701 1.75 0.75 0 0
  702 1.75 1.25 0 0
  703 1.75 1.75 0 0
  704 1.75 2.25 0 0
