# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
653 -41.7584 -136.649 -268.678
654 -58.5944 -185.847 -271.236
655 -73.1876 -231.903 -266.675
656 -81.667 -274.229 -253.704
657 -81.2867 -312.848 -231.692
658 -70.4261 -348.073 -200.105
659 -49.5144 -379.496 -158.835
660 -20.676 -406.174 -108.978
661 11.9258 -427.324 -52.0403
662 44.0786 -442.141 8.64674
663 71.5636 -450.381 68.9868
664 91.58 -452.581 124.416
665 102.55 -449.525 171.022
666 104.637 -442.161 206.36
667 98.8252 -431.367 229.409
668 87.2082 -417.868 240.577
669 72.3142 -402.021 241.304
670 56.775 -383.409 232.875
671 43.7039 -362.169 217.065
672 35.3579 -338.586 194.481
673 33.1799 -313.378 165.979
674 36.8224 -287.094 132.338
675 45.0527 -260.064 94.8299
676 55.4995 -231.965 55.4181
677 65.8641 -202.3 16.4674
678 74.2298 -171.388 -19.6792
679 80.1855 -140.318 -50.4395
680 83.9954 -110.832 -73.3083
681 87.423 -85.6967 -85.9748
682 92.4537 -67.2611 -86.151
683 101.048 -56.9678 -73.0706
684 114.354 -55.3335 -47.6567
685 131.91 -60.951 -12.6597
686 151.908 -71.9723 27.453
687 171.218 -85.254 67.3923
688 185.872 -98.2544 102.176
689 191.556 -108.741 127.926
690 185.191 -114.692 142.21
691 164.124 -115.708 144.929
692 127.629 -111.584 136.669
693 77.1669 -103.828 119.566
694 15.1344 -94.9713 95.4884
695 -54.8784 -88.2769 66.2986
696 -129.045 -87.9881 32.7478
697 -203.825 -97.981 -3.59991
698 -276.482 -120.63 -41.7103
699 -344.006 -156.185 -79.869
700 -404.13 -202.394 -116.395
701 -454.725 -255.245 -149.344
702 -494.368 -309.19 -177.332
703 -522.503 -358.742 -199.589
704 -539.784 -399.132 -216.251
705 -547.728 -427.194 -227.156
706 -549.111 -441.621 -232.428
707 -547.256 -442.91 -231.837
708 -545.647 -432.802 -224.616
709 -547.347 -413.848 -210.461
710 -554.26 -388.779 -189.934
711 -566.763 -359.495 -164.417
712 -583.543 -327.124 -136.571
713 -602.77 -291.941 -109.639
714 -621.495 -252.742 -86.8554
715 -637.234 -208.252 -70.7527
716 -648.077 -157.057 -62.4856
717 -652.435 -98.8131 -61.7262
718 -649.111 -34.4392 -67.1018
719 -636.941 34.198 -76.1011
720 -615.766 104.046 -86.0642
721 -586.052 171.935 -94.5336
722 -549.271 235.125 -98.9571
723 -507.913 291.116 -97.5012
724 -465.239 337.742 -88.559
725 -424.162 374.16 -70.943
726 -386.635 399.744 -44.5516
727 -353.828 414.927 -10.2555
728 -325.929 420.524 30.5378
729 -301.964 417.364 75.9225
730 -280.888 406.075 123.058
731 -262.51 387.051 168.352
732 -246.509 360.673 208.369
733 -233.961 327.527 240.178
734 -226.045 289.011 261.035
735 -224.18 246.945 269.703
736 -228.435 203.972 266.175
737 -238.15 162.688 251.572
738 -251.738 125.013 227.742
739 -266.997 91.2928 196.857
740 -281.64 61.0712 161.427
741 -294.039 32.7337 123.964
742 -302.991 4.34253 86.3613
743 -307.692 -25.9232 50.2502
744 -307.71 -59.2723 16.6664
745 -303.654 -96.0145 -13.6655
746 -297.319 -135.706 -41.45
747 -290.611 -177.436 -67.6058
748 -286.473 -220.331 -93.5503
749 -287.092 -264.231 -121.066
750 -294.066 -308.772 -151.855
751 -307.678 -353.945 -186.578
752 -327.38 -398.825 -225.12
753 -351.522 -442.286 -266.644
754 -378.301 -482.64 -309.31
755 -405.803 -517.839 -352.015
756 -432.492 -546.983 -392.321
757 -457.191 -569.656 -428.826
758 -478.515 -586.898 -459.692
759 -495.654 -600.528 -484.037
760 -508.315 -612.813 -501.638
761 -515.696 -625.569 -512.655
762 -517.594 -640.021 -518.307
763 -514.2 -655.881 -520.204
764 -505.88 -672.386 -520.803
765 -493.489 -688.428 -522.125
766 -477.814 -702.539 -526.136
767 -460.276 -713.561 -533.616
768 -442.036 -720.121 -543.929
769 -424.117 -720.84 -554.775
770 -407.463 -714.932 -562.98
771 -392.849 -701.89 -565.023
772 -380.897 -681.835 -558.348
773 -372.245 -655.673 -541.504
774 -367.612 -625.344 -514.687
775 -367.242 -592.534 -478.873
776 -371.402 -559.329 -436.422
777 -379.779 -526.996 -389.909
778 -391.853 -496.363 -342.128
779 -406.998 -468.236 -295.05
780 -424.412 -443.008 -250.504
781 -443.353 -421.735 -209.64
782 -462.914 -405.725 -172.925
783 -481.68 -395.968 -140.95
784 -498.734 -392.525 -113.838
785 -513.092 -394.912 -91.9055
786 -523.836 -401.706 -76.0576
787 -530.308 -410.958 -67.483
788 -531.883 -421.243 -67.9438
789 -528.189 -431.594 -79.1923
790 -518.922 -442.625 -102.164
791 -504.288 -455.245 -137.353
792 -484.576 -471.403 -183.382
793 -460.056 -493.154 -237.637
794 -431.868 -522.278 -296.732
795 -401.43 -559.668 -356.25
796 -371.294 -605.169 -411.602
